school,major,province,year,exam_type,min_score,min_rank
北京大学,哲学类,广东,2024,历史类,662.0,32.0
中国人民大学,哲学类,广东,2024,历史类,648.0,150.0
中国人民大学,法学类,广东,2024,历史类,659.0,53.0
清华大学,哲学类,广东,2024,历史类,665.0,19.0
北京交通大学,哲学类,广东,2024,历史类,594.0,3847.0
北京航空航天大学,哲学类,广东,2024,历史类,625.0,818.0
北京理工大学,哲学类,广东,2024,历史类,611.0,1765.0
北京科技大学,哲学类,广东,2024,历史类,593.0,3913.0
北京科技大学,数学类,广东,2024,历史类,597.0,3312.0
北京科技大学,物理学类,广东,2024,历史类,596.0,3469.0
北京化工大学,哲学类,广东,2024,历史类,577.0,6981.0
北京服装学院,哲学类,广东,2024,历史类,513.0,31068.0
北京印刷学院,哲学类,广东,2024,历史类,531.0,22341.0
中国农业大学(中外合作办学),哲学类,广东,2024,历史类,583.0,5770.0
北京林业大学,哲学类,广东,2024,历史类,575.0,7382.0
北京林业大学,数学类,广东,2024,历史类,580.0,6292.0
北京林业大学,法学类,广东,2024,历史类,576.0,7111.0
北京林业大学,经济学类,广东,2024,历史类,580.0,6282.0
北京中医药大学,哲学类,广东,2024,历史类,582.0,5882.0
北京师范大学,哲学类,广东,2024,历史类,636.0,378.0
北京师范大学,外国语言文学类,广东,2024,历史类,623.0,920.0
首都师范大学,数学类,广东,2024,历史类,584.0,5545.0
首都体育学院,哲学类,广东,2024,历史类,521.0,27237.0
北京外国语大学,哲学类,广东,2024,历史类,617.0,1282.0
北京外国语大学,数学类,广东,2024,历史类,604.0,2497.0
北京外国语大学,物理学类,广东,2024,历史类,606.0,2229.0
北京第二外国语学院,哲学类,广东,2024,历史类,572.0,8079.0
北京第二外国语学院,数学类,广东,2024,历史类,554.0,13173.0
北京第二外国语学院,物理学类,广东,2024,历史类,575.0,7462.0
北京语言大学,哲学类,广东,2024,历史类,570.0,8625.0
北京语言大学,数学类,广东,2024,历史类,579.0,6469.0
中国传媒大学,数学类,广东,2024,历史类,597.0,3381.0
中国传媒大学(中外合作办学),物理学类,广东,2024,历史类,591.0,4345.0
中国传媒大学,新闻传播学类,广东,2024,历史类,594.0,3819.0
中央财经大学,哲学类,广东,2024,历史类,608.0,2019.0
对外经济贸易大学,数学类,广东,2024,历史类,605.0,2385.0
