school,major,province,year,exam_type,min_score,min_rank
北京大学,数学类,广东,2023,历史类,670.0,31.0
中国人民大学,哲学类,广东,2023,历史类,653.0,149.0
清华大学,哲学类,广东,2023,历史类,674.0,14.0
北京交通大学,哲学类,广东,2023,历史类,598.0,3640.0
北京交通大学,数学类,广东,2023,历史类,602.0,3143.0
北京航空航天大学,哲学类,广东,2023,历史类,626.0,999.0
北京理工大学,哲学类,广东,2023,历史类,613.0,1910.0
北京化工大学,哲学类,广东,2023,历史类,584.0,5950.0
北京服装学院,哲学类,广东,2023,历史类,531.0,23040.0
北京印刷学院,哲学类,广东,2023,历史类,540.0,19058.0
中国农业大学(中外合作办学),法学类,广东,2023,历史类,596.0,3919.0
北京林业大学,哲学类,广东,2023,历史类,577.0,7400.0
北京林业大学,数学类,广东,2023,历史类,592.0,4588.0
北京中医药大学,哲学类,广东,2023,历史类,581.0,6509.0
北京师范大学,哲学类,广东,2023,历史类,642.0,390.0
北京师范大学,教育学类,广东,2023,历史类,635.0,629.0
首都师范大学,哲学类,广东,2023,历史类,588.0,5109.0
首都师范大学,数学类,广东,2023,历史类,588.0,5106.0
首都体育学院,哲学类,广东,2023,历史类,538.0,19960.0
北京外国语大学,数学类,广东,2023,历史类,608.0,2441.0
北京外国语大学,物理学类,广东,2023,历史类,620.0,1359.0
北京第二外国语学院,哲学类,广东,2023,历史类,579.0,7007.0
北京第二外国语学院,数学类,广东,2023,历史类,561.0,11480.0
北京第二外国语学院,物理学类,广东,2023,历史类,580.0,6730.0
北京语言大学,哲学类,广东,2023,历史类,581.0,6480.0
北京语言大学,数学类,广东,2023,历史类,579.0,7001.0
北京语言大学,物理学类,广东,2023,历史类,603.0,3011.0
中国传媒大学,数学类,广东,2023,历史类,603.0,2913.0
中国传媒大学(中外合作办学),体育学类,广东,2023,历史类,605.0,2720.0
中央财经大学,数学类,广东,2023,历史类,614.0,1806.0
对外经济贸易大学,哲学类,广东,2023,历史类,613.0,1904.0
北京物资学院,哲学类,广东,2023,历史类,531.0,23015.0
首都经济贸易大学,哲学类,广东,2023,历史类,574.0,8105.0
北京体育大学,哲学类,广东,2023,历史类,573.0,8334.0
北京体育大学(中外合作办学),教育学类,广东,2023,历史类,501.0,39343.0
北京体育大学,外国语言文学类,广东,2023,历史类,571.0,8867.0
中央美术学院,哲学类,广东,2023,历史类,606.0,2645.0
中央戏剧学院,哲学类,广东,2023,历史类,572.0,8502.0
中国戏曲学院,哲学类,广东,2023,历史类,557.0,12737.0
北京电影学院,哲学类,广东,2023,历史类,583.0,6150.0
中央民族大学,哲学类,广东,2023,历史类,604.0,2871.0
中央民族大学,数学类,广东,2023,历史类,604.0,2858.0
中国政法大学,哲学类,广东,2023,历史类,612.0,2031.0
中国政法大学,数学类,广东,2023,历史类,608.0,2416.0
中国政法大学,物理学类,广东,2023,历史类,621.0,1334.0
中国政法大学,体育学类,广东,2023,历史类,613.0,1962.0
华北电力大学(北京),哲学类,广东,2023,历史类,589.0,5050.0
华北电力大学(北京),数学类,广东,2023,历史类,585.0,5821.0
南开大学,哲学类,广东,2023,历史类,630.0,846.0
天津科技大学,哲学类,广东,2023,历史类,531.0,22870.0
天津科技大学(中外合作办学),经济学类,广东,2023,历史类,531.0,22911.0
中国民航大学,哲学类,广东,2023,历史类,549.0,15455.0
中国民航大学,物理学类,广东,2023,历史类,547.0,16297.0
天津中医药大学,哲学类,广东,2023,历史类,553.0,14244.0
天津中医药大学,数学类,广东,2023,历史类,574.0,8090.0
天津中医药大学,管理学类,广东,2023,历史类,548.0,16032.0
天津师范大学,哲学类,广东,2023,历史类,564.0,10687.0
天津外国语大学,哲学类,广东,2023,历史类,527.0,24950.0
天津外国语大学,数学类,广东,2023,历史类,509.0,34526.0
天津外国语大学,物理学类,广东,2023,历史类,554.0,13745.0
天津商业大学,哲学类,广东,2023,历史类,521.0,27812.0
天津商业大学,数学类,广东,2023,历史类,522.0,27257.0
天津商业大学(中外合作办学),体育学类,广东,2023,历史类,505.0,36396.0
天津财经大学,哲学类,广东,2023,历史类,544.0,17497.0
天津财经大学(中外合作办学),体育学类,广东,2023,历史类,535.0,21352.0
天津体育学院,哲学类,广东,2023,历史类,498.0,41075.0
河北地质大学,哲学类,广东,2023,历史类,506.0,36224.0
华北电力大学(保定),哲学类,广东,2023,历史类,571.0,8727.0
华北理工大学,哲学类,广东,2023,历史类,482.0,52365.0
华北理工大学,数学类,广东,2023,历史类,533.0,21923.0
华北理工大学,物理学类,广东,2023,历史类,534.0,21555.0
华北理工大学,新闻传播学类,广东,2023,历史类,527.0,24933.0
